refdes,pin,voltage,current
pdna_comp_Motor_A_PWR_IN_3,1,33.89,10.0
pdna_comp_Motor_A_PWR_IN_3,2,0.1,-10.0
pdna_comp_Motor_B_PWR_IN_2,1,33.8881,10.0
pdna_comp_Motor_B_PWR_IN_2,2,0.0980771,-10.0
pdna_comp_Motor_A_PWR_OUT_4,1,33.6203,-10.0
pdna_comp_Motor_A_PWR_OUT_4,2,0.261524,10.0
pdna_comp_Motor_B_PWR_OUT_1,1,33.6159,-10.0
pdna_comp_Motor_B_PWR_OUT_1,2,0.415091,10.0
F1,1,33.881,-10.0
F1,2,33.831,10.0
FET1,3,33.8144,-10.0
FET1,2,33.7644,10.0
FET3,2,33.7086,-10.0
FET3,3,33.6586,10.0
R7,1,0.120087,10.0
R7,2,0.120097,-10.0
FET4,3,0.141463,10.0
FET4,2,0.191473,-10.0
R17,1,0.122169,10.0
R17,2,0.272179,-10.0
FET9,3,0.293623,10.0
FET9,2,0.343633,-10.0
F2,1,33.8796,-10.0
F2,2,33.8296,10.0
FET6,3,33.813,-10.0
FET6,2,33.763,10.0
FET8,2,33.7072,-10.0
FET8,3,33.6571,10.0
