vrefdes,vpin,refdes,pin
VCOMP0,0,pdna_comp_Motor_A_PWR_IN_3,1
VCOMP0,1,pdna_comp_Motor_A_PWR_IN_3,2
VCOMP1,0,pdna_comp_Motor_A_PWR_OUT_4,1
VCOMP1,1,pdna_comp_Motor_A_PWR_OUT_4,2
VCOMP2,0,pdna_comp_Motor_B_PWR_IN_2,1
VCOMP2,1,pdna_comp_Motor_B_PWR_IN_2,2
VCOMP3,0,pdna_comp_Motor_B_PWR_OUT_1,1
VCOMP3,1,pdna_comp_Motor_B_PWR_OUT_1,2
VCOMP4,0,F1,1
VCOMP4,1,F1,2
VCOMP5,0,FET1,3
VCOMP5,1,FET1,2
VCOMP6,0,FET3,2
VCOMP6,1,FET3,3
VCOMP7,0,R7,1
VCOMP7,1,R7,2
VCOMP8,0,FET4,3
VCOMP8,1,FET4,2
VCOMP9,0,R17,1
VCOMP9,1,R17,2
VCOMP10,0,FET9,3
VCOMP10,1,FET9,2
VCOMP11,0,F2,1
VCOMP11,1,F2,2
VCOMP12,0,FET6,3
VCOMP12,1,FET6,2
VCOMP13,0,FET8,2
VCOMP13,1,FET8,3
